,,,,,,,,,,,,,,,,,,,
Res. Eduardo Nuñez,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,QTY,Unit,$0.00,$0.00,,,,,,,,,,,,,,
2010  Demolición,,,,,,,,,,,,,,,,,,,
"$31,593.75",Demolición,,,,,,,,,,,,,,,,,,
,"Clean-Out 3"" W/Adapter",1 ,Ea,$30.00,$37.50,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4010  Concreto,,,,,,,,,,,,,,,,,,,
"$27,281.25",Concreto,,,,,,,,,,,,,,,,,,
,"Fundido de Zapatas (Zapata en Escalera en ""L"")",2.00,cyds,"$3,300.00","$4,125.00",,,,,,,,,,,,,,
,"Fundido de Pisos de 5"" (Garage del Lado Derecho)",14.00,cyds,"$3,300.00","$4,125.00",,,,,,,,,,,,,,
,"Fundido de Paredes 6"" (Pared Master & Paredes debajo banco Planter)",9.00,cyds,"$3,300.00","$4,125.00",,,,,,,,,,,,,,
,Fundido de Techos & Vigas ,4.00,cyds,"$4,125.00","$5,156.25",,,,,,,,,,,,,,
,Fundido Parapetos,2.00,cyds,"$3,300.00","$4,125.00",,,,,,,,,,,,,,
,Fundido de Escaleras,11.00,cyds,"$3,300.00","$4,125.00",,,,,,,,,,,,,,
,Articulos Miscelaneos,,,,,,,,,,,,,,,,,,
,Plastico - Vapor Barrier,"1,000.00",sqft,$400.00,$500.00,,,,,,,,,,,,,,
,Barrenos & Epoxy,124.00,sqft,$400.00,$500.00,,,,,,,,,,,,,,
,Miscelaneo,,,,,,,,,,,,,,,,,,
,Relleno de Excavaciones (Zapatas),16.00,Cm,$400.00,$500.00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5010  Albañileria,,,,,,,,,,,,,,,,,,,
"$3,000.00",Albañileria,,,,,,,,,,,,,,,,,,
,"Bloques de 6""",132 ,sqft,$400.00,$500.00,,,,,,,,,,,,,,
,Albañileria Miscelanea,,,,,,,,,,,,,,,,,,
,Accesorios,132 ,sqft,$200.00,$250.00,,,,,,,,,,,,,,
,Columnas de Amarre,32 ,lft,"$1,800.00","$2,250.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
6010  Metales,,,,,,,,,,,,,,,,,,,
$0.00,Metales,,,,,,,,,,,,,,,,,,
,Pergolas en Nueva Barra,300 ,sqft,,,,,,,,,,,,,,,,
,Pergolas en Terraza del Cuarto,215 ,sqft,,,,,,,,,,,,,,,,
,Metales Miscelaneos,,,,,,,,,,,,,,,,,,
,"Portón Peatonal (2'-0"" Ancho x 7'-0"" Alto)",1 ,ea.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
7010 Ebanisteria,NOT IN CONTRACT,,,,,,,,,,,,,,,,,,
$0.00,Bathroom Vanity,9 ,Lf,,,,,,,,,,,,,,,,
,Drawer (3 Ea),3 ,Lf,,,,,,,,,,,,,,,,
,Wte Bar Base Cabinets,7 ,Lf,,,,,,,,,,,,,,,,
,Guest Low Base Cabinets,7 ,Lf,,,,,,,,,,,,,,,,
,Guest Shelving,8 ,Sf,,,,,,,,,,,,,,,,
,Full High Gabinets,4 ,Lf,,,,,,,,,,,,,,,,
,Upper Terrace Base Cabinets,5 ,Lf,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
8010  Impermeabilización,,,,,,,,,,,,,,,,,,,
"$3,000.00",Impermeabilización,,,,,,,,,,,,,,,,,,
,Impermeabilización en Nuevo Techo,165 ,sqft,"$2,400.00","$3,000.00",,,,,,,,,,,,,,
,Cap Flashing,14 ,lft,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
8010 Puertas & Ventanas,,,,,,,,,,,,,,,,,,,
"$1,750.00",Puertas de Madera,,,,,,,,,,,,,,,,,,
,"Single Swing Semi- Solid Wood Door (2'-6"" x 7'-0"" H)",2 ,Ea,$900.00,"$1,125.00",,,,,,,,,,,,,,
,"Single Pocket Semi- Solid Wood Door (3'-0"" x 7'-0"" H)",1 ,Ea,$500.00,$625.00,,,,,,,,,,,,,,
,"Bi-Folding Door                                (2'-8"" x 7'-0"" H)",1 ,Sets,,,,,,,,,,,,,,,,
,Wood Frame,2 ,Sets,,,,,,,,,,,,,,,,
,Herrajes (Puertas de Madera),,,,,,,,,,,,,,,,,,
,Set de Herrajes,4 ,sets,,,,,,,,,,,,,,,,
,Puertas de Aluminio,,,,,,,,,,,,,,,,,,
,Exist. Window to be Re-Instal,1 ,Ea,,,,,,,,,,,,,,,,
,"ALUMINUM & GLASS WINDOWS Project Out (2'-0"" x 2'-0"" H)",1 ,Ea,,,,,,,,,,,,,,,,
,"Shower Glass (3'-0"" x 6'-0"" H)",1 ,Ea,,,,,,,,,,,,,,,,
,"Shower Glass (2'-0"" x 6'-0"" H)",1 ,Ea,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
9010 Terminaciones,,,,,,,,,,,,,,,,,,,
"$72,781.25",TECHOS,,,,,,,,,,,,,,,,,,
,Empañetado de Techos,165 ,sqft,"$3,375.00","$4,218.75",,,,,,,,,,,,,,
,Techo en Gypsum Boar (MR),40 ,sqft,"$1,600.00","$2,000.00",,,,,,,,,,,,,,
,Tejas de Clay (provistas por dueño). Incluir preparar superficie para instalación,475 ,sqft,"$2,700.00","$3,375.00",,,,,,,,,,,,,,
,Cumbrelas,22 ,lft,,,,,,,,,,,,,,,,
,PISOS (Solo Instalación),,,,,,,,,,,,,,,,,,
,New Mosaic Tiles en la Ducha,84 ,Sf,"$2,625.00","$3,281.25",,,,,,,,,,,,,,
,Nuevas Ceramic Tiles,420 ,Sf,"$2,700.00","$3,375.00",,,,,,,,,,,,,,
,Nuevas Marble Tiles,290 ,Sf,"$4,050.00","$5,062.50",,,,,,,,,,,,,,
,Nuevas Marble Tiles (Travertino en Escaleras),225 ,Sf,"$4,725.00","$5,906.25",,,,,,,,,,,,,,
,Nuevas Limestone en Gazebo Pool,0 ,Sf,"$2,025.00","$2,531.25",,,,,,,,,,,,,,
,Nuevas Limestone Pool Deck,886 ,Sf,"$4,125.00","$5,156.25",,,,,,,,,,,,,,
,Microcemento ,840 ,Sf,,,,,,,,,,,,,,,,
,New Floor Strip Tiles,275 ,Lf,"$1,050.00","$1,312.50",,,,,,,,,,,,,,
,Topping,"3,020 ",Sf,"$4,900.00","$6,125.00",,,,,,,,,,,,,,
,Zócalos - (Not in Contract),,,,,,,,,,,,,,,,,,
,"Zócalos en Cerámica 4"" de alto",0 ,lft,,,,,,,,,,,,,,,,
,Paredes,,,,,,,,,,,,,,,,,,
,Paredes Interiores @ ser Reparadas,180 ,Sf,"$2,625.00","$3,281.25",,,,,,,,,,,,,,
,Empañetado (Interior & Exterior),999 ,Sf,"$3,375.00","$4,218.75",,,,,,,,,,,,,,
,Filos (Interior & Exterior),550 ,Lf,"$2,700.00","$3,375.00",,,,,,,,,,,,,,
,Gyp. Board Furring (para Puerta Pocket) Moisture Resistant,56 ,Sf,"$2,500.00","$3,125.00",,,,,,,,,,,,,,
,"Losas ""Glazed"" en el Tope de la Barra Piscina (Pool Wet Bar)",47 ,Sf,"$2,025.00","$2,531.25",,,,,,,,,,,,,,
,Instalación de Limestone en Paredes Barra,44 ,Sf,"$2,025.00","$2,531.25",,,,,,,,,,,,,,
,Material Sintético en el Tope de la Barra (Corian),23 ,Sf,"$3,700.00","$4,625.00",,,,,,,,,,,,,,
,"Losas ""Glazed"" en el Baño Nuevo",757 ,Sf,"$2,700.00","$3,375.00",,,,,,,,,,,,,,
,Pintura,,,,,,,,,,,,,,,,,,
,Pintura (Primer & Pintura por Dueño) - Areas Nuevas & Areas Afectadas,1 ,ls.,"$2,700.00","$3,375.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
10010 Especialidades,,,,,,,,,,,,,,,,,,,
$750.00,Accesorios de Baño (provistos por dueño),,,,,,,,,,,,,,,,,,
,Toilet Paper Holder,3 ,Ea,$100.00,$125.00,,,,,,,,,,,,,,
,Soap Holder,3 ,Ea,$100.00,$125.00,,,,,,,,,,,,,,
,"Towel Holder (24"" Lg)",3 ,Ea,$100.00,$125.00,,,,,,,,,,,,,,
,"Mirror (3'-6"" Diam)",1 ,Ea,$100.00,$125.00,,,,,,,,,,,,,,
,"Mirror (3'-8"" x 3'-0"" H))",1 ,Ea,$100.00,$125.00,,,,,,,,,,,,,,
,"Mirror (2'-6"" x 3'-0"" H))",1 ,Ea,$100.00,$125.00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
11010 Mecanico,,,,,,,,,,,,,,,,,,,
"$1,125.00",Plomeria,,,,,,,,,,,,,,,,,,
,Equipos de Plomeria Nuevos (provistos por dueño),12 ,ea.,,,,,,,,,,,,,,,,
,Sub-Contrato de Plomeria (Rough-In),1 ,Allow,,,,,,,,,,,,,,,,
,Reparaciones por Trabajos de Plomeria,1 ,ls.,$900.00,"$1,125.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1210 Eléctrico: (Carlos Berrios),,,,,,,,,,,,,,,,,,,
,Remover Generador Electrico,1.00,ls.,,,,,,,,,,,,,,,,
,Relocalizar Tanque de Gas,1.00,ls.,,,,,,,,,,,,,,,,
$0.00,SUB-CONTRATO Trabajos Eléctricos ,1 ,ls.,,,,,,,,,,,,,,,,
,Instalación de Lamparas en Viga de Plycem,0.00,ea.,,,,,,,,,,,,,,,,
,Instalación de Lampara Recesada en Pared para Escalones,0.00,ea.,,,,,,,,,,,,,,,,
,Instalación de Concrete Boxes y de Lamparas debajo de jardineras,0.00,ea.,,,,,,,,,,,,,,,,
,Tuberia hasta el Techo con soportes (Pipe Roof Support en Balcon del Master),0.00,ls.,,,,,,,,,,,,,,,,
,Sellado de Perforaciones para Tuberias en Piso del Master & Techo Master,0.00,ls.,,,,,,,,,,,,,,,,
,"Switches, Receptaculos & GFI (Primer Piso)",0.00,ls.,,,,,,,,,,,,,,,,
,Empotrar tuberia electrica del switch de la cisterna (Cuarto Master),0.00,ea.,,,,,,,,,,,,,,,,
,Toma 220V para Auto Electrico (dejar cableria sin Receptaculo),0.00,ea.,,,,,,,,,,,,,,,,
,"Receptaculos, Lamparas e interruptores (Segundo Piso)",0.00,ls.,,,,,,,,,,,,,,,,
,Reparaciones por trabajos Electricos,1.00,ls.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Materiales,,,,,,,,,,,,,,,,,,
,"Paneles, palos, cobre, cemento, varilla, amarra, clavos, cero bondo,",,,"$8,000.00","$5,750.00",,,,,,,,,,,,,,
,contact cement etc…,,,,,,,,,,,,,,,,,,
